品种,批发市场,最低价格,最高价格,平均价格,发布时间
土豆,三门峡金河农产品批发交易中心,￥1.00,￥1.20,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,内蒙赤峰西城市场,￥1.00,￥1.20,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,周口市黄淮港农产品批发市场有限...,￥1.10,￥1.50,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,新疆兵团农二师库尔勒市孔雀农副...,￥1.50,￥2.25,￥1.87,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,山东滕州蔬菜批发市场,￥0.50,￥1.20,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,贵阳农产品物流园,￥0.70,￥1.30,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,福建福鼎闽浙边界农贸中心市场,￥1.30,￥2.10,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,沈阳盛发菜果批发有限公司,￥1.10,￥1.30,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,通海县金山蔬菜批发市场,￥1.20,￥2.00,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,浙江金华农产品批发市场,￥0.00,￥0.00,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,浙中农副产品物流中心,￥1.00,￥2.00,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,北京新发地批发市场,￥0.80,￥1.35,￥1.07,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,甘肃酒泉春光农产品市场有限责任...,￥1.20,￥1.40,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,甘肃庆阳市西郊蔬菜瓜果批发市场,￥1.40,￥1.75,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,甘肃定西市安定区马铃薯综合交易...,￥1.50,￥2.00,￥1.75,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,晋城市绿盛农工商实业有限公司农...,￥1.10,￥1.10,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,重庆双福国际农贸城,￥1.00,￥1.40,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,潜江市四季友农产品市场,￥1.50,￥1.75,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,江苏丰县农林局,￥1.50,￥1.90,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,湖南长沙马王堆农产品股份有限公司,￥1.20,￥1.70,￥1.45,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,红星实业集团有限公司红星农副产...,￥1.20,￥1.80,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,浙江省嘉善县浙北果蔬批发交易中心,￥1.20,￥2.30,￥1.75,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p1.html
土豆,石家庄国际农产品批发交易中心,￥0.60,￥1.30,￥0.95,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,兰州国际高原夏菜副食品采购中心,￥1.08,￥1.20,￥1.11,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,北园春农贸批发市场,￥1.60,￥2.60,￥2.10,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,安徽六安市裕安区紫竹林农产品批...,￥1.00,￥2.00,￥1.70,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,宁夏四季鲜农产品综合批发市场,￥0.70,￥1.10,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,黑龙江省齐齐哈尔华博农产品市场,￥0.50,￥1.15,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,江苏宜兴蔬菜副食品批发市场,￥1.80,￥2.00,￥1.90,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,浙江宁波市蔬菜副食品批发交易市场,￥0.95,￥1.50,￥1.15,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,新疆绿珠九鼎农产品经营管理有限...,￥0.00,￥0.00,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,江苏凌家塘农副产品批发市场,￥0.70,￥2.50,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,河南商丘市农产品中心批发市场,￥0.90,￥1.25,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,河北馆陶金凤禽蛋批发市场,￥1.40,￥1.40,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,新疆乌鲁木齐凌庆蔬菜果品有限公司,￥1.00,￥1.25,￥1.12,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,南昌深圳农产品中心批发市场有限...,￥1.20,￥1.40,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,浙江省绍兴市蔬菜果品批发交易市场,￥0.00,￥0.00,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,山西晋城绿欣农产品批发市场,￥1.10,￥1.20,￥1.15,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,哈尔滨哈达农副产品股份有限公司,￥0.80,￥1.30,￥1.05,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,甘肃陇西清吉洋芋批发市场,￥1.35,￥1.45,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,广西新柳邕农产品批发市场有限公司,￥1.30,￥1.40,￥1.35,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,甘肃武威昊天农产品交易市场,￥0.80,￥1.00,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,天津市金钟蔬菜批发市场,￥1.00,￥1.20,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,甘肃邦农农产品批发市场,￥0.80,￥1.00,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,成都市农产品中心批发市场,￥1.00,￥1.40,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,内蒙古呼和浩特市东瓦窑农副产品...,￥0.85,￥1.20,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p2.html
土豆,新疆兵团农五师三和农副产品综合...,￥1.75,￥0.00,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E5%9C%9F%E8%B1%86y2024m2d-1cta-1by-1p3.html
