品种,批发市场,最低价格,最高价格,平均价格,发布时间
大葱,三门峡金河农产品批发交易中心,￥1.10,￥1.30,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,内蒙赤峰西城市场,￥1.20,￥1.40,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,周口市黄淮港农产品批发市场有限...,￥0.50,￥2.50,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,新疆兵团农二师库尔勒市孔雀农副...,￥2.75,￥3.50,￥3.12,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,福建福鼎闽浙边界农贸中心市场,￥1.70,￥1.90,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,沈阳盛发菜果批发有限公司,￥1.60,￥1.80,￥1.70,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,厦门市同安闽南果蔬批发市场,￥1.40,￥2.00,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,通海县金山蔬菜批发市场,￥2.50,￥3.50,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,浙江金华农产品批发市场,￥0.00,￥0.00,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,浙中农副产品物流中心,￥0.50,￥2.50,￥1.55,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,北京新发地批发市场,￥1.40,￥1.60,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,甘肃酒泉春光农产品市场有限责任...,￥2.10,￥2.30,￥2.20,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥2.13,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,甘肃庆阳市西郊蔬菜瓜果批发市场,￥1.00,￥1.30,￥1.15,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,甘肃定西市安定区马铃薯综合交易...,￥1.50,￥2.00,￥1.75,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
大葱,晋城市绿盛农工商实业有限公司农...,￥1.80,￥1.80,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m2d-1cta-1by-1p1.html
