品种,批发市场,最低价格,最高价格,平均价格,发布时间
白菜,三门峡金河农产品批发交易中心,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,三门峡金河农产品批发交易中心,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,三门峡金河农产品批发交易中心,￥1.60,￥2.00,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,内蒙赤峰西城市场,￥0.70,￥0.80,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,内蒙赤峰西城市场,￥1.00,￥1.20,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,周口市黄淮港农产品批发市场有限...,￥0.15,￥1.20,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,新疆兵团农二师库尔勒市孔雀农副...,￥0.50,￥1.25,￥0.87,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,新疆兵团农二师库尔勒市孔雀农副...,￥1.75,￥2.50,￥2.12,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,山东滕州蔬菜批发市场,￥0.10,￥0.50,￥0.30,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,贵阳农产品物流园,￥0.50,￥0.70,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,贵阳农产品物流园,￥1.10,￥1.30,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,福建福鼎闽浙边界农贸中心市场,￥1.10,￥1.80,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,福建福鼎闽浙边界农贸中心市场,￥1.50,￥2.20,￥1.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,沈阳盛发菜果批发有限公司,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,沈阳盛发菜果批发有限公司,￥2.20,￥2.40,￥2.30,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,厦门市同安闽南果蔬批发市场,￥0.60,￥1.00,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,通海县金山蔬菜批发市场,￥0.40,￥0.50,￥0.42,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,通海县金山蔬菜批发市场,￥0.30,￥0.55,￥0.35,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,通海县金山蔬菜批发市场,￥1.00,￥1.50,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,浙江金华农产品批发市场,￥0.00,￥0.00,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,浙中农副产品物流中心,￥0.30,￥2.00,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,北京新发地批发市场,￥0.50,￥0.80,￥0.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,北京新发地批发市场,￥1.30,￥1.70,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,甘肃酒泉春光农产品市场有限责任...,￥1.70,￥1.90,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,甘肃酒泉春光农产品市场有限责任...,￥0.60,￥0.70,￥0.65,2024-02-29大,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
白菜,甘肃酒泉春光农产品市场有限责任...,￥2.75,￥3.25,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥1.43,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥2.50,￥3.00,￥2.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,甘肃定西市安定区马铃薯综合交易...,￥1.00,￥1.60,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,晋城市绿盛农工商实业有限公司农...,￥0.70,￥0.70,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,晋城市绿盛农工商实业有限公司农...,￥0.80,￥0.80,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,重庆双福国际农贸城,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,重庆双福国际农贸城,￥0.50,￥0.80,￥0.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,潜江市四季友农产品市场,￥0.40,￥0.50,￥0.40,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,潜江市四季友农产品市场,￥1.00,￥1.00,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,江苏丰县农林局,￥0.50,￥0.80,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,湖南长沙马王堆农产品股份有限公司,￥0.50,￥0.90,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,湖南长沙马王堆农产品股份有限公司,￥0.50,￥0.90,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,红星实业集团有限公司红星农副产...,￥0.75,￥1.00,￥0.87,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,红星实业集团有限公司红星农副产...,￥1.89,￥2.83,￥2.36,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,浙江省嘉善县浙北果蔬批发交易中心,￥0.80,￥1.20,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,石家庄国际农产品批发交易中心,￥0.60,￥0.85,￥0.72,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,石家庄国际农产品批发交易中心,￥1.50,￥2.00,￥1.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,兰州国际高原夏菜副食品采购中心,￥0.63,￥0.70,￥0.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,兰州国际高原夏菜副食品采购中心,￥2.43,￥2.70,￥2.50,2024-02-29小,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
白菜,北园春农贸批发市场,￥0.90,￥1.90,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,北园春农贸批发市场,￥1.15,￥2.15,￥1.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,北园春农贸批发市场,￥2.25,￥3.25,￥2.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,安徽六安市裕安区紫竹林农产品批...,￥0.40,￥1.25,￥0.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,安徽六安市裕安区紫竹林农产品批...,￥1.50,￥2.50,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,宁夏四季鲜农产品综合批发市场,￥0.65,￥0.75,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,黑龙江省齐齐哈尔华博农产品市场,￥0.60,￥0.90,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,黑龙江省齐齐哈尔华博农产品市场,￥1.20,￥1.80,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,江苏宜兴蔬菜副食品批发市场,￥0.70,￥1.00,￥0.85,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,江苏宜兴蔬菜副食品批发市场,￥0.80,￥1.00,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,浙江宁波市蔬菜副食品批发交易市场,￥0.55,￥0.85,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,新疆绿珠九鼎农产品经营管理有限...,￥0.40,￥0.00,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,新疆绿珠九鼎农产品经营管理有限...,￥0.00,￥0.00,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,江苏凌家塘农副产品批发市场,￥0.50,￥0.80,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,江苏凌家塘农副产品批发市场,￥0.30,￥0.60,￥0.50,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,江苏凌家塘农副产品批发市场,￥0.75,￥2.50,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,河南商丘市农产品中心批发市场,￥0.60,￥1.00,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,河南商丘市农产品中心批发市场,￥0.60,￥0.90,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,河北馆陶金凤禽蛋批发市场,￥0.70,￥0.70,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
白菜,河北馆陶金凤禽蛋批发市场,￥0.80,￥0.80,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m2d-1cta-1by-1p3.html
