品种,批发市场,最低价格,最高价格,平均价格,发布时间
白萝卜,三门峡金河农产品批发交易中心,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,内蒙赤峰西城市场,￥1.10,￥1.20,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,周口市黄淮港农产品批发市场有限...,￥0.30,￥1.10,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,新疆兵团农二师库尔勒市孔雀农副...,￥1.75,￥2.50,￥2.12,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,山东滕州蔬菜批发市场,￥0.10,￥0.90,￥0.25,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,贵阳农产品物流园,￥0.40,￥0.50,￥0.45,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,福建福鼎闽浙边界农贸中心市场,￥0.60,￥1.10,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,沈阳盛发菜果批发有限公司,￥0.60,￥0.80,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,通海县金山蔬菜批发市场,￥0.75,￥1.00,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,浙江金华农产品批发市场,￥0.00,￥0.00,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,浙中农副产品物流中心,￥0.25,￥1.00,￥0.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,北京新发地批发市场,￥0.50,￥0.70,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,甘肃酒泉春光农产品市场有限责任...,￥1.00,￥1.20,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥0.93,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥0.40,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥0.65,￥0.80,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,甘肃定西市安定区马铃薯综合交易...,￥0.75,￥1.00,￥0.87,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,晋城市绿盛农工商实业有限公司农...,￥0.80,￥0.80,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,重庆双福国际农贸城,￥0.40,￥0.70,￥0.55,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,潜江市四季友农产品市场,￥0.70,￥0.80,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,江苏丰县农林局,￥0.40,￥0.80,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,湖南长沙马王堆农产品股份有限公司,￥0.50,￥0.70,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,红星实业集团有限公司红星农副产...,￥0.50,￥1.00,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥0.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,浙江省嘉善县浙北果蔬批发交易中心,￥0.80,￥1.10,￥0.95,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
白萝卜,石家庄国际农产品批发交易中心,￥0.50,￥0.60,￥0.55,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,兰州国际高原夏菜副食品采购中心,￥0.54,￥0.60,￥0.55,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,北园春农贸批发市场,￥1.15,￥2.15,￥1.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,安徽六安市裕安区紫竹林农产品批...,￥0.40,￥0.90,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,宁夏四季鲜农产品综合批发市场,￥0.50,￥0.60,￥0.55,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,江苏宜兴蔬菜副食品批发市场,￥0.70,￥1.00,￥0.85,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,浙江宁波市蔬菜副食品批发交易市场,￥0.65,￥0.95,￥0.80,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,新疆绿珠九鼎农产品经营管理有限...,￥0.00,￥0.00,￥1.40,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,江苏凌家塘农副产品批发市场,￥0.40,￥0.80,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,河北馆陶金凤禽蛋批发市场,￥0.70,￥0.70,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,新疆乌鲁木齐凌庆蔬菜果品有限公司,￥0.90,￥0.95,￥0.92,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,南昌深圳农产品中心批发市场有限...,￥0.50,￥0.90,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,山西晋城绿欣农产品批发市场,￥0.90,￥1.00,￥0.95,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,哈尔滨哈达农副产品股份有限公司,￥0.90,￥1.00,￥0.95,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,甘肃陇西清吉洋芋批发市场,￥1.60,￥1.70,￥1.65,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥0.47,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,广西新柳邕农产品批发市场有限公司,￥0.50,￥0.70,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,甘肃武威昊天农产品交易市场,￥0.90,￥1.10,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,天津市金钟蔬菜批发市场,￥0.70,￥1.00,￥0.70,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,甘肃邦农农产品批发市场,￥0.80,￥1.00,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,成都市农产品中心批发市场,￥0.40,￥0.60,￥0.50,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,内蒙古呼和浩特市东瓦窑农副产品...,￥0.80,￥1.10,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
白萝卜,新疆兵团农五师三和农副产品综合...,￥1.25,￥0.00,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p2.html
