品种,批发市场,最低价格,最高价格,平均价格,发布时间
胡萝卜,内蒙赤峰西城市场,￥1.10,￥1.20,￥1.20,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,周口市黄淮港农产品批发市场有限...,￥1.10,￥1.30,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,新疆兵团农二师库尔勒市孔雀农副...,￥1.75,￥2.50,￥2.12,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,山东滕州蔬菜批发市场,￥0.50,￥1.10,￥0.60,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,贵阳农产品物流园,￥0.80,￥1.00,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,沈阳盛发菜果批发有限公司,￥1.20,￥1.40,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,厦门市同安闽南果蔬批发市场,￥0.80,￥1.10,￥0.90,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,通海县金山蔬菜批发市场,￥1.50,￥2.50,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,浙江金华农产品批发市场,￥0.00,￥0.00,￥1.10,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,浙中农副产品物流中心,￥0.50,￥1.50,￥1.05,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,北京新发地批发市场,￥0.70,￥1.00,￥0.85,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,甘肃酒泉春光农产品市场有限责任...,￥1.10,￥1.20,￥1.15,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥1.05,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥0.90,￥1.00,￥0.95,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,甘肃定西市安定区马铃薯综合交易...,￥1.50,￥2.00,￥1.75,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,晋城市绿盛农工商实业有限公司农...,￥1.00,￥1.00,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,重庆双福国际农贸城,￥1.40,￥1.80,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
胡萝卜,潜江市四季友农产品市场,￥1.15,￥1.50,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m2d-1cta-1by-1p1.html
