品种,批发市场,最低价格,最高价格,平均价格,发布时间
西红柿,三门峡金河农产品批发交易中心,￥3.10,￥3.50,￥3.30,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,内蒙赤峰西城市场,￥3.50,￥4.00,￥3.80,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,周口市黄淮港农产品批发市场有限...,￥1.00,￥4.30,￥2.60,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,新疆兵团农二师库尔勒市孔雀农副...,￥4.00,￥5.00,￥4.50,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,山东滕州蔬菜批发市场,￥0.75,￥3.50,￥1.00,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,贵阳农产品物流园,￥1.00,￥1.80,￥1.50,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,福建福鼎闽浙边界农贸中心市场,￥3.10,￥3.40,￥3.30,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,山东临邑县临南蔬菜大市场,￥1.80,￥2.40,￥2.20,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,沈阳盛发菜果批发有限公司,￥2.30,￥2.50,￥2.40,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,厦门市同安闽南果蔬批发市场,￥1.50,￥2.00,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,通海县金山蔬菜批发市场,￥2.00,￥3.00,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,浙江金华农产品批发市场,￥0.00,￥0.00,￥1.80,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,浙中农副产品物流中心,￥1.50,￥3.50,￥1.90,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,北京新发地批发市场,￥1.80,￥2.50,￥2.15,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,甘肃酒泉春光农产品市场有限责任...,￥4.00,￥4.20,￥4.10,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥1.96,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥3.30,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,甘肃庆阳市西郊蔬菜瓜果批发市场,￥3.50,￥5.00,￥4.40,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
西红柿,甘肃定西市安定区马铃薯综合交易...,￥2.00,￥2.50,￥2.25,2024-02-29,http://price.cnveg.com/select/st%E8%A5%BF%E7%BA%A2%E6%9F%BFy2024m2d-1cta-1by-1p1.html
