品种,批发市场,最低价格,最高价格,平均价格,发布时间
青椒,三门峡金河农产品批发交易中心,￥2.40,￥2.80,￥2.60,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,内蒙赤峰西城市场,￥3.50,￥4.00,￥3.80,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,周口市黄淮港农产品批发市场有限...,￥1.20,￥5.00,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,新疆兵团农二师库尔勒市孔雀农副...,￥5.50,￥6.50,￥6.00,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,贵阳农产品物流园,￥1.50,￥4.50,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,福建福鼎闽浙边界农贸中心市场,￥2.70,￥3.60,￥3.10,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,）,沈阳盛发菜果批发有限公司,￥4.80,￥5.00,￥4.90,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,厦门市同安闽南果蔬批发市场,￥3.00,￥3.80,￥3.30,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,通海县金山蔬菜批发市场,￥3.00,￥4.00,￥3.50,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,浙江金华农产品批发市场,￥0.00,￥0.00,￥3.50,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,北京新发地批发市场,￥3.80,￥5.80,￥4.80,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
青椒,甘肃酒泉春光农产品市场有限责任...,￥3.40,￥3.60,￥3.50,2024-02-29,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m2d-1cta-1by-1p1.html
