品种,批发市场,最低价格,最高价格,平均价格,发布时间
韭菜,三门峡金河农产品批发交易中心,￥1.70,￥2.10,￥1.90,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,内蒙赤峰西城市场,￥3.00,￥3.30,￥3.10,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,周口市黄淮港农产品批发市场有限...,￥1.30,￥6.00,￥1.60,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,新疆兵团农二师库尔勒市孔雀农副...,￥3.75,￥4.50,￥4.12,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,贵阳农产品物流园,￥2.30,￥2.60,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,福建福鼎闽浙边界农贸中心市场,￥2.70,￥3.00,￥2.80,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,沈阳盛发菜果批发有限公司,￥2.30,￥2.50,￥2.40,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,通海县金山蔬菜批发市场,￥2.00,￥3.00,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,浙中农副产品物流中心,￥1.00,￥3.30,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,北京新发地批发市场,￥1.50,￥2.50,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,甘肃酒泉春光农产品市场有限责任...,￥3.50,￥3.70,￥3.60,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥2.63,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥3.50,￥4.00,￥3.75,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,甘肃定西市安定区马铃薯综合交易...,￥0.50,￥1.00,￥0.75,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,晋城市绿盛农工商实业有限公司农...,￥3.00,￥3.00,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,重庆双福国际农贸城,￥3.30,￥3.80,￥3.55,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,江苏丰县农林局,￥1.80,￥2.00,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,湖南长沙马王堆农产品股份有限公司,￥2.50,￥3.50,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,红星实业集团有限公司红星农副产...,￥2.56,￥3.59,￥3.07,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥2.10,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,浙江省嘉善县浙北果蔬批发交易中心,￥3.00,￥4.00,￥3.50,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,石家庄国际农产品批发交易中心,￥1.70,￥2.30,￥2.00,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,兰州国际高原夏菜副食品采购中心,￥1.98,￥2.20,￥2.04,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,北园春农贸批发市场,￥2.25,￥3.25,￥2.75,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p1.html
韭菜,安徽六安市裕安区紫竹林农产品批...,￥2.00,￥3.50,￥2.60,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,宁夏四季鲜农产品综合批发市场,￥0.85,￥2.25,￥1.55,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,黑龙江省齐齐哈尔华博农产品市场,￥1.40,￥2.80,￥2.05,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,江苏宜兴蔬菜副食品批发市场,￥3.00,￥3.50,￥3.25,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,浙江宁波市蔬菜副食品批发交易市场,￥2.75,￥3.75,￥3.25,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,新疆绿珠九鼎农产品经营管理有限...,￥2.00,￥0.00,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,江苏凌家塘农副产品批发市场,￥1.75,￥4.00,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,河北馆陶金凤禽蛋批发市场,￥2.50,￥2.50,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,新疆乌鲁木齐凌庆蔬菜果品有限公司,￥2.50,￥3.00,￥2.75,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
韭菜,南昌深圳农产品中心批发市场有限...,￥3.00,￥3.40,￥3.20,2024-02-29,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m2d-1cta-1by-1p2.html
