品种,批发市场,最低价格,最高价格,平均价格,发布时间
黄瓜,三门峡金河农产品批发交易中心,￥2.40,￥2.80,￥2.60,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,内蒙赤峰西城市场,￥3.40,￥3.60,￥3.50,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,周口市黄淮港农产品批发市场有限...,￥2.70,￥4.00,￥2.70,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,新疆兵团农二师库尔勒市孔雀农副...,￥4.75,￥5.50,￥5.12,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,山东滕州蔬菜批发市场,￥0.15,￥4.00,￥0.30,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,贵阳农产品物流园,￥2.00,￥2.70,￥2.25,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,福建福鼎闽浙边界农贸中心市场,￥2.20,￥2.60,￥2.40,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,沈阳盛发菜果批发有限公司,￥2.80,￥3.00,￥2.90,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,通海县金山蔬菜批发市场,￥2.00,￥3.00,￥2.50,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,浙江金华农产品批发市场,￥0.00,￥0.00,￥3.00,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,浙中农副产品物流中心,￥2.50,￥6.00,￥3.20,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,北京新发地批发市场,￥1.50,￥2.80,￥2.15,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,甘肃酒泉春光农产品市场有限责任...,￥3.90,￥4.10,￥4.00,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,甘肃酒泉春光农产品市场有限责任...,￥3.90,￥4.10,￥4.00,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,海口市菜篮子江楠农产品批发市场,￥0.00,￥0.00,￥1.30,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥3.30,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥3.50,￥4.00,￥3.80,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
黄瓜,甘肃庆阳市西郊蔬菜瓜果批发市场,￥3.50,￥4.00,￥3.75,2024-02-29,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m2d-1cta-1by-1p1.html
